 9.77237221e+00 -8.37655914e+01  9.77237221e+00 -1.41090922e+00  9.77237221e+00 -7.79607739e+01  9.77237221e+00 -2.46204793e+01  9.77237221e+00 -4.37246607e+01 
 1.00000000e+01 -8.39345333e+01  1.00000000e+01 -1.41532193e+00  1.00000000e+01 -7.81308079e+01  1.00000000e+01 -2.48030908e+01  1.00000000e+01 -4.38676236e+01 
 1.02329299e+01 -8.41045809e+01  1.02329299e+01 -1.41974743e+00  1.02329299e+01 -7.83021975e+01  1.02329299e+01 -2.49864187e+01  1.02329299e+01 -4.40104740e+01 
 1.04712855e+01 -8.42758035e+01  1.04712855e+01 -1.42414546e+00  1.04712855e+01 -7.84747650e+01  1.04712855e+01 -2.51704375e+01  1.04712855e+01 -4.41536249e+01 
 1.07151931e+01 -8.44480201e+01  1.07151931e+01 -1.42854706e+00  1.07151931e+01 -7.86485641e+01  1.07151931e+01 -2.53551222e+01  1.07151931e+01 -4.42966937e+01 
 1.09647820e+01 -8.46213947e+01  1.09647820e+01 -1.43292191e+00  1.09647820e+01 -7.88237599e+01  1.09647820e+01 -2.55404485e+01  1.09647820e+01 -4.44396413e+01 
 1.12201845e+01 -8.47958897e+01  1.12201845e+01 -1.43730693e+00  1.12201845e+01 -7.90001041e+01  1.12201845e+01 -2.57263928e+01  1.12201845e+01 -4.45822904e+01 
 1.14815362e+01 -8.49714552e+01  1.14815362e+01 -1.44166277e+00  1.14815362e+01 -7.91774972e+01  1.14815362e+01 -2.59129319e+01  1.14815362e+01 -4.47246896e+01 
 1.17489755e+01 -8.51479295e+01  1.17489755e+01 -1.44601470e+00  1.17489755e+01 -7.93560709e+01  1.17489755e+01 -2.61000433e+01  1.17489755e+01 -4.48667627e+01 
 1.20226443e+01 -8.53255238e+01  1.20226443e+01 -1.45034428e+00  1.20226443e+01 -7.95358902e+01  1.20226443e+01 -2.62877052e+01  1.20226443e+01 -4.50084888e+01 
 1.23026877e+01 -8.55039576e+01  1.23026877e+01 -1.45466548e+00  1.23026877e+01 -7.97167423e+01  1.23026877e+01 -2.64758961e+01  1.23026877e+01 -4.51498343e+01 
 1.25892541e+01 -8.56833120e+01  1.25892541e+01 -1.45895426e+00  1.25892541e+01 -7.98983648e+01  1.25892541e+01 -2.66645953e+01  1.25892541e+01 -4.52906470e+01 
 1.28824955e+01 -8.58635574e+01  1.28824955e+01 -1.46323922e+00  1.28824955e+01 -8.00812425e+01  1.28824955e+01 -2.68537827e+01  1.28824955e+01 -4.54306925e+01 
 1.31825674e+01 -8.60445686e+01  1.31825674e+01 -1.46749735e+00  1.31825674e+01 -8.02651371e+01  1.31825674e+01 -2.70434384e+01  1.31825674e+01 -4.55701456e+01 
 1.34896288e+01 -8.62264647e+01  1.34896288e+01 -1.47172697e+00  1.34896288e+01 -8.04498587e+01  1.34896288e+01 -2.72335435e+01  1.34896288e+01 -4.57090071e+01 
 1.38038426e+01 -8.64091182e+01  1.38038426e+01 -1.47594527e+00  1.38038426e+01 -8.06356414e+01  1.38038426e+01 -2.74240793e+01  1.38038426e+01 -4.58469960e+01 
 1.41253754e+01 -8.65925416e+01  1.41253754e+01 -1.48014208e+00  1.41253754e+01 -8.08222179e+01  1.41253754e+01 -2.76150276e+01  1.41253754e+01 -4.59840980e+01 
 1.44543977e+01 -8.67767308e+01  1.44543977e+01 -1.48431913e+00  1.44543977e+01 -8.10098650e+01  1.44543977e+01 -2.78063707e+01  1.44543977e+01 -4.61202562e+01 
 1.47910839e+01 -8.69615731e+01  1.47910839e+01 -1.48845914e+00  1.47910839e+01 -8.11981933e+01  1.47910839e+01 -2.79980917e+01  1.47910839e+01 -4.62556073e+01 
 1.51356125e+01 -8.71471431e+01  1.51356125e+01 -1.49258159e+00  1.51356125e+01 -8.13875236e+01  1.51356125e+01 -2.81901736e+01  1.51356125e+01 -4.63899375e+01 
 1.54881662e+01 -8.73333142e+01  1.54881662e+01 -1.49669566e+00  1.54881662e+01 -8.15774812e+01  1.54881662e+01 -2.83826001e+01  1.54881662e+01 -4.65229896e+01 
 1.58489319e+01 -8.75200803e+01  1.58489319e+01 -1.50077463e+00  1.58489319e+01 -8.17684188e+01  1.58489319e+01 -2.85753554e+01  1.58489319e+01 -4.66549425e+01 
 1.62181010e+01 -8.77074819e+01  1.62181010e+01 -1.50483398e+00  1.62181010e+01 -8.19599969e+01  1.62181010e+01 -2.87684240e+01  1.62181010e+01 -4.67857857e+01 
 1.65958691e+01 -8.78954391e+01  1.65958691e+01 -1.50886901e+00  1.65958691e+01 -8.21524516e+01  1.65958691e+01 -2.89617906e+01  1.65958691e+01 -4.69153626e+01 
 1.69824365e+01 -8.80839478e+01  1.69824365e+01 -1.51288189e+00  1.69824365e+01 -8.23456267e+01  1.69824365e+01 -2.91554405e+01  1.69824365e+01 -4.70435093e+01 
 1.73780083e+01 -8.82729576e+01  1.73780083e+01 -1.51687049e+00  1.73780083e+01 -8.25394188e+01  1.73780083e+01 -2.93493593e+01  1.73780083e+01 -4.71703374e+01 
 1.77827941e+01 -8.84625064e+01  1.77827941e+01 -1.52084114e+00  1.77827941e+01 -8.27339589e+01  1.77827941e+01 -2.95435327e+01  1.77827941e+01 -4.72958553e+01 
 1.81970086e+01 -8.86524607e+01  1.81970086e+01 -1.52478962e+00  1.81970086e+01 -8.29291758e+01  1.81970086e+01 -2.97379468e+01  1.81970086e+01 -4.74198164e+01 
 1.86208714e+01 -8.88428803e+01  1.86208714e+01 -1.52871236e+00  1.86208714e+01 -8.31250159e+01  1.86208714e+01 -2.99325881e+01  1.86208714e+01 -4.75423354e+01 
 1.90546072e+01 -8.90336984e+01  1.90546072e+01 -1.53261193e+00  1.90546072e+01 -8.33215205e+01  1.90546072e+01 -3.01274433e+01  1.90546072e+01 -4.76632403e+01 
 1.94984460e+01 -8.92249679e+01  1.94984460e+01 -1.53650126e+00  1.94984460e+01 -8.35185493e+01  1.94984460e+01 -3.03224992e+01  1.94984460e+01 -4.77825833e+01 
 1.99526231e+01 -8.94165680e+01  1.99526231e+01 -1.54036588e+00  1.99526231e+01 -8.37162404e+01  1.99526231e+01 -3.05177429e+01  1.99526231e+01 -4.79002906e+01 
 2.04173794e+01 -8.96085273e+01  2.04173794e+01 -1.54420748e+00  2.04173794e+01 -8.39145490e+01  2.04173794e+01 -3.07131618e+01  2.04173794e+01 -4.80163244e+01 
 2.08929613e+01 -8.98008053e+01  2.08929613e+01 -1.54802980e+00  2.08929613e+01 -8.41133290e+01  2.08929613e+01 -3.09087433e+01  2.08929613e+01 -4.81306458e+01 
 2.13796209e+01 -8.99933828e+01  2.13796209e+01 -1.55183760e+00  2.13796209e+01 -8.43127300e+01  2.13796209e+01 -3.11044751e+01  2.13796209e+01 -4.82432719e+01 
 2.18776162e+01 -9.01862494e+01  2.18776162e+01 -1.55562882e+00  2.18776162e+01 -8.45125458e+01  2.18776162e+01 -3.13003451e+01  2.18776162e+01 -4.83540559e+01 
 2.23872114e+01 -9.03793962e+01  2.23872114e+01 -1.55940578e+00  2.23872114e+01 -8.47129732e+01  2.23872114e+01 -3.14963411e+01  2.23872114e+01 -4.84630821e+01 
 2.29086765e+01 -9.05727479e+01  2.29086765e+01 -1.56316106e+00  2.29086765e+01 -8.49137931e+01  2.29086765e+01 -3.16924514e+01  2.29086765e+01 -4.85703002e+01 
 2.34422882e+01 -9.07663226e+01  2.34422882e+01 -1.56690586e+00  2.34422882e+01 -8.51151661e+01  2.34422882e+01 -3.18886639e+01  2.34422882e+01 -4.86755731e+01 
 2.39883292e+01 -9.09600498e+01  2.39883292e+01 -1.57063304e+00  2.39883292e+01 -8.53169099e+01  2.39883292e+01 -3.20849671e+01  2.39883292e+01 -4.87790109e+01 
 2.45470892e+01 -9.11539647e+01  2.45470892e+01 -1.57434967e+00  2.45470892e+01 -8.55191796e+01  2.45470892e+01 -3.22813494e+01  2.45470892e+01 -4.88805620e+01 
 2.51188643e+01 -9.13480430e+01  2.51188643e+01 -1.57805663e+00  2.51188643e+01 -8.57217967e+01  2.51188643e+01 -3.24777991e+01  2.51188643e+01 -4.89801942e+01 
 2.57039578e+01 -9.15422284e+01  2.57039578e+01 -1.58175348e+00  2.57039578e+01 -8.59248659e+01  2.57039578e+01 -3.26743047e+01  2.57039578e+01 -4.90778726e+01 
 2.63026799e+01 -9.17365068e+01  2.63026799e+01 -1.58543997e+00  2.63026799e+01 -8.61282422e+01  2.63026799e+01 -3.28708549e+01  2.63026799e+01 -4.91736450e+01 
 2.69153480e+01 -9.19308495e+01  2.69153480e+01 -1.58911503e+00  2.69153480e+01 -8.63320823e+01  2.69153480e+01 -3.30674381e+01  2.69153480e+01 -4.92674390e+01 
