dc,V
5.88000000e-01,-5.40623515e-03
5.89000000e-01,-5.49846785e-03
5.90000000e-01,-5.59620475e-03
5.91000000e-01,-5.69909180e-03
5.92000000e-01,-5.79551454e-03
5.93000000e-01,-5.89677723e-03
5.94000000e-01,-6.00186688e-03
5.95000000e-01,-6.10652497e-03
5.96000000e-01,-6.21554577e-03
5.97000000e-01,-6.32268027e-03
5.98000000e-01,-6.43436509e-03
5.99000000e-01,-6.54711934e-03
6.00000000e-01,-6.65983192e-03
6.01000000e-01,-6.77992843e-03
6.02000000e-01,-6.90092077e-03
6.03000000e-01,-7.02343469e-03
6.04000000e-01,-7.14452623e-03
6.05000000e-01,-7.27033250e-03
6.06000000e-01,-7.39886309e-03
6.07000000e-01,-7.52887414e-03
6.08000000e-01,-7.66197225e-03
6.09000000e-01,-7.79512619e-03
6.10000000e-01,-7.93448423e-03
6.11000000e-01,-8.07659959e-03
6.12000000e-01,-8.21890677e-03
6.13000000e-01,-8.36313728e-03
6.14000000e-01,-8.51208745e-03
6.15000000e-01,-8.66116223e-03
6.16000000e-01,-8.81665754e-03
6.17000000e-01,-8.97657681e-03
6.18000000e-01,-9.13384936e-03
6.19000000e-01,-9.29354253e-03
6.20000000e-01,-9.45669276e-03
6.21000000e-01,-9.62762397e-03
6.22000000e-01,-9.79723044e-03
6.23000000e-01,-9.97222764e-03
6.24000000e-01,-1.01520460e-02
6.25000000e-01,-1.03324073e-02
6.26000000e-01,-1.05152110e-02
6.27000000e-01,-1.07017905e-02
6.28000000e-01,-1.08964491e-02
6.29000000e-01,-1.10886312e-02
6.30000000e-01,-1.12837328e-02
6.31000000e-01,-1.14842302e-02
6.32000000e-01,-1.16928667e-02
6.33000000e-01,-1.19050689e-02
6.34000000e-01,-1.21140184e-02
6.35000000e-01,-1.23335268e-02
6.36000000e-01,-1.25565514e-02
6.37000000e-01,-1.27794194e-02
6.38000000e-01,-1.30098229e-02
6.39000000e-01,-1.32427424e-02
6.40000000e-01,-1.34787001e-02
6.41000000e-01,-1.37206306e-02
6.42000000e-01,-1.39683300e-02
6.43000000e-01,-1.42189661e-02
6.44000000e-01,-1.44772427e-02
6.45000000e-01,-1.47398812e-02
6.46000000e-01,-1.50043347e-02
6.47000000e-01,-1.52752856e-02
6.48000000e-01,-1.55509198e-02
6.49000000e-01,-1.58329367e-02
6.50000000e-01,-1.61168815e-02
6.51000000e-01,-1.64090745e-02
6.52000000e-01,-1.67090171e-02
6.53000000e-01,-1.70080830e-02
6.54000000e-01,-1.73158970e-02
6.55000000e-01,-1.76316632e-02
6.56000000e-01,-1.79526212e-02
6.57000000e-01,-1.82791118e-02
6.58000000e-01,-1.86111931e-02
6.59000000e-01,-1.89504093e-02
6.60000000e-01,-1.92937945e-02
6.61000000e-01,-1.96446312e-02
6.62000000e-01,-2.00012571e-02
6.63000000e-01,-2.03668387e-02
6.64000000e-01,-2.07397277e-02
6.65000000e-01,-2.11172586e-02
6.66000000e-01,-2.15041549e-02
6.67000000e-01,-2.18971732e-02
6.68000000e-01,-2.22952579e-02
6.69000000e-01,-2.27029911e-02
6.70000000e-01,-2.31200651e-02
6.71000000e-01,-2.35422447e-02
6.72000000e-01,-2.39758664e-02
6.73000000e-01,-2.44160939e-02
6.74000000e-01,-2.48620285e-02
6.75000000e-01,-2.53182506e-02
6.76000000e-01,-2.57830068e-02
6.77000000e-01,-2.62551236e-02
6.78000000e-01,-2.67392118e-02
6.79000000e-01,-2.72306054e-02
6.80000000e-01,-2.77298618e-02
6.81000000e-01,-2.82443579e-02
6.82000000e-01,-2.87633481e-02
6.83000000e-01,-2.92923257e-02
6.84000000e-01,-2.98309340e-02
6.85000000e-01,-3.03808057e-02
6.86000000e-01,-3.09433966e-02
6.87000000e-01,-3.15128884e-02
6.88000000e-01,-3.20943375e-02
6.89000000e-01,-3.26874377e-02
6.90000000e-01,-3.32909125e-02
6.91000000e-01,-3.39050367e-02
6.92000000e-01,-3.45299461e-02
6.93000000e-01,-3.51687077e-02
6.94000000e-01,-3.58212073e-02
6.95000000e-01,-3.64817893e-02
6.96000000e-01,-3.71569722e-02
6.97000000e-01,-3.78448789e-02
6.98000000e-01,-3.85429369e-02
6.99000000e-01,-3.92559336e-02
7.00000000e-01,-3.99850722e-02
7.01000000e-01,-4.07260500e-02
7.02000000e-01,-4.14765271e-02
7.03000000e-01,-4.22441965e-02
7.04000000e-01,-4.30270913e-02
7.05000000e-01,-4.38212058e-02
7.06000000e-01,-4.46329324e-02
7.07000000e-01,-4.54604313e-02
7.08000000e-01,-4.63011508e-02
7.09000000e-01,-4.71584425e-02
7.10000000e-01,-4.80322076e-02
7.11000000e-01,-4.89182872e-02
7.12000000e-01,-4.98216423e-02
7.13000000e-01,-5.07449526e-02
7.14000000e-01,-5.16823548e-02
7.15000000e-01,-5.26375124e-02
7.16000000e-01,-5.36088570e-02
7.17000000e-01,-5.45996655e-02
7.18000000e-01,-5.56054919e-02
7.19000000e-01,-5.66313358e-02
7.20000000e-01,-5.76769746e-02
7.21000000e-01,-5.87397393e-02
7.22000000e-01,-5.98244771e-02
7.23000000e-01,-6.09251532e-02
7.24000000e-01,-6.20454620e-02
7.25000000e-01,-6.31867679e-02
7.26000000e-01,-6.43477268e-02
7.27000000e-01,-6.55272428e-02
7.28000000e-01,-6.67285734e-02
7.29000000e-01,-6.79545845e-02
7.30000000e-01,-6.92008881e-02
7.31000000e-01,-7.04681258e-02
7.32000000e-01,-7.17550340e-02
7.33000000e-01,-7.30634336e-02
7.34000000e-01,-7.43992420e-02
7.35000000e-01,-7.57578044e-02
7.36000000e-01,-7.71368747e-02
7.37000000e-01,-7.85383706e-02
7.38000000e-01,-7.99652907e-02
7.39000000e-01,-8.14176195e-02
7.40000000e-01,-8.28941554e-02
