 2.04173794e+01 -1.88762325e+02  2.04173794e+01 -2.69412191e-01  2.04173794e+01 -1.81343834e+02  2.04173794e+01 -1.51348366e-02  2.04173794e+01 -5.51843011e+01 
 2.08929613e+01 -1.88749374e+02  2.08929613e+01 -2.75418040e-01  2.08929613e+01 -1.81264370e+02  2.08929613e+01 -1.51348376e-02  2.08929613e+01 -5.51843005e+01 
 2.13796209e+01 -1.88735856e+02  2.13796209e+01 -2.81545577e-01  2.13796209e+01 -1.81182687e+02  2.13796209e+01 -1.51348386e-02  2.13796209e+01 -5.51842999e+01 
 2.18776162e+01 -1.88721748e+02  2.18776162e+01 -2.87796457e-01  2.18776162e+01 -1.81098765e+02  2.18776162e+01 -1.51348396e-02  2.18776162e+01 -5.51842993e+01 
 2.23872114e+01 -1.88707025e+02  2.23872114e+01 -2.94172304e-01  2.23872114e+01 -1.81012588e+02  2.23872114e+01 -1.51348406e-02  2.23872114e+01 -5.51842988e+01 
 2.29086765e+01 -1.88691663e+02  2.29086765e+01 -3.00674703e-01  2.29086765e+01 -1.80924140e+02  2.29086765e+01 -1.51348416e-02  2.29086765e+01 -5.51842982e+01 
 2.34422882e+01 -1.88675638e+02  2.34422882e+01 -3.07305201e-01  2.34422882e+01 -1.80833409e+02  2.34422882e+01 -1.51348426e-02  2.34422882e+01 -5.51842976e+01 
 2.39883292e+01 -1.88658923e+02  2.39883292e+01 -3.14065297e-01  2.39883292e+01 -1.80740385e+02  2.39883292e+01 -1.51348436e-02  2.39883292e+01 -5.51842971e+01 
 2.45470892e+01 -1.88641491e+02  2.45470892e+01 -3.20956439e-01  2.45470892e+01 -1.80645060e+02  2.45470892e+01 -1.51348446e-02  2.45470892e+01 -5.51842965e+01 
 2.51188643e+01 -1.88623315e+02  2.51188643e+01 -3.27980021e-01  2.51188643e+01 -1.80547429e+02  2.51188643e+01 -1.51348455e-02  2.51188643e+01 -5.51842960e+01 
 2.57039578e+01 -1.88604367e+02  2.57039578e+01 -3.35137373e-01  2.57039578e+01 -1.80447489e+02  2.57039578e+01 -1.51348464e-02  2.57039578e+01 -5.51842954e+01 
 2.63026799e+01 -1.88584617e+02  2.63026799e+01 -3.42429760e-01  2.63026799e+01 -1.80345238e+02  2.63026799e+01 -1.51348474e-02  2.63026799e+01 -5.51842949e+01 
 2.69153480e+01 -1.88564036e+02  2.69153480e+01 -3.49858373e-01  2.69153480e+01 -1.80240680e+02  2.69153480e+01 -1.51348483e-02  2.69153480e+01 -5.51842944e+01 
